[Membership] Explain the attack presented in this paper.,"The attacker creates a collection of models (one for each output class of the target model) and builds 'k' many ""shadow"" models intended to behave similarly to the target model. The shadow models are trained using ground truth values, so supervised learning can be utilized during training. 

The end-to-end attack process: an attacker has a (data record, class label) pair. It asks the target model to predict the label and is given a prediction vector of confidence values. These values depend heavily on the true class of the data record. The prediction and the original pair is passed into the attack model which decides if ((data record, class label), prediction) is in the training set of the target model."
[Membership] What is the main idea behind using shadow models for the attack?,Similar models trained on relatively similar data records using the same service behave similiarly.
[Membership] How would changing the number of shadow models affect accuracy?,Increasing the number improves accuracy but incurs a higher cost.
[Membership] The paper specifically mentioned that the success of membership inference is directly related to...,"1. Generalizability of the target model
2. Diversity of the training data"
[Membership] What are some mitigations to this attack?,"Differential privacy (which are secure against this type of attack by construction)
If using ML-as-a-service, pressure the provider to being more careful about accepting data and producing models
Use regularization that overcome overfitting by penalizing large parameters. [most helpful]
Restrict prediction vector to the top k classes [not helpful]
"
[Deanony] Provide an overview of the paper.,"The authors present a new attack method that is able to re-indentify individual entries in high-dimesional, sparse datasets. The technique is robust against pertubation in the data."
[Deanony] How did Netflix attempt to ensure privacy on the released dataset?,(1) Only released <1/10 of the entire dataset. (2) Randomly perturbed/changed entries. (3) Claimed to randomly sample from the entire dataset. (4) Removed all customer identifying info so all that remained was ratings and dates.
[Deanony] What does sparsity mean?,Each individual record contains values only for a small fraction of attributes.
[Deanony] What is the adversary model and goal for this paper?,"Model: The adversary has access to some auxilliary information related to record 'r' that may possibly be imprecise, pertubed, and incorrect.

Goal: Given the auxiliary information and an anonymized sample D' of D, the goal is to reconstruct attribute values of the entire record 'r'; thereby identifying record 'r'."
[Deanony] What are alternatives that Netflix should have used to release the dataset?,"There isn't really a good answer; anything they could do would destroy the utility of the data and renders the purpose of the Netflix Prize Challenge pointless. However, you could:
(1) further sanitize the dataset so it is not as sparse
(2) release the dataset without column names (they argue this would make it harder to do, but not impossible)
(3) perturb more data samples with the trade off of destroying utility."
[Deanon] What are the two deanonymization algorithms presented and what is the key difference?,"1. SCOREBOARD and 2. SCOREBOARD-RH

Difference:
SCOREBOARD is not robust for some applications; it fails if any of the attributes in the adversary's auxiliary information are completely incorrect.
RH provides additional heuristics that make it more practical. The scoring function gives higher weight to statistically rare attributes. To improve robustness, the matching criterion requires the top score to be significantly above the second-best score. 
"
[RAPPOR] What does RAPPOR stand for and what does the system do?,"Random Aggregatable Privacy-Preserving Ordinal Response (RAPPOR) crowdsources statistics from end-user software, anonymously, with strong privacy guarantees. It allows access to overall client data without permitting looking at individual records."
[RAPPOR] What do RAPPOR responses look like?,"Rappor responses are assumed to be bit strings where each bit corresponds to a randomized response for some logical predicate on the report client's properties--such as its values, context, history."
[RAPPOR] The paper attempts to protect against two attack models. What are those models?,"One-time attack - the attacker has access to a single report and can be stopped with a single round of randomized response.

Longitudinal/Multiple Collection attack - the attacker has access to multiple reports over time from the same user which is harder to stop and at the heart of this algo."
[RAPPOR] What basic idea does RAPPOR build on and how does it use this idea?,"Memoization -- this is when the process stores the result of an expensive function call so when it is called again with that input, the expensive function doesn't rerun; thus improving performance.

It uses memoization layered between two rounds of the randomized response game to ensure one-time and longitudinal privacy."
[RAPPOR] Does the RAPPOR algorithm satisfy differential privacy?,Yes -- there is a proof section.
